Dataset,n_estimators,max_depth,MAPE,RMSE,Time
Malaysia,5,3,3.378698063809892,1953.9402387850369,1.8557209968566895
Malaysia,5,4,4.302968177644213,2501.221044631403,0.3223414421081543
Malaysia,5,5,4.3780343709019,2491.874546485481,0.4083859920501709
Malaysia,5,6,2.841265694395049,1645.35794686646,1.0788359642028809
Malaysia,5,7,3.009851067822809,1772.19227965618,1.2554206848144531
Malaysia,5,8,3.149808747877604,1806.2692860696502,2.08870267868042
Malaysia,6,3,3.617189176362749,2104.7861528227936,0.8733048439025879
Malaysia,6,4,3.833938132598839,2241.8816146957456,0.5149319171905518
Malaysia,6,5,4.803340508946222,2740.196697897659,0.5486645698547363
Malaysia,6,6,2.837263582701297,1645.9622225965243,1.1626427173614502
Malaysia,6,7,3.014835597318263,1772.0227068483705,1.4324543476104736
Malaysia,6,8,3.156587206744102,1812.8579937995416,2.4583513736724854
Malaysia,7,3,3.7797434622115578,2289.064128006269,0.28766417503356934
Malaysia,7,4,3.8989335173157524,2412.3571494655725,0.3921325206756592
Malaysia,7,5,4.18446220693501,2363.1488677542584,0.7041993141174316
Malaysia,7,6,2.836294174571253,1645.5745748525176,1.3329532146453857
Malaysia,7,7,2.998527807495571,1764.1124928652932,1.6492550373077393
Malaysia,7,8,3.1561836901169515,1813.3659338080313,2.840562582015991
Malaysia,8,3,3.836889670966201,2255.3433480678236,0.4668748378753662
Malaysia,8,4,4.219858400385505,2439.413591443831,0.42398953437805176
Malaysia,8,5,4.6268625380514266,2832.458548497868,0.54292893409729
Malaysia,8,6,2.8332382989529914,1643.7015992981048,1.482158899307251
Malaysia,8,7,2.9928444942408143,1759.4363333112951,1.8818573951721191
Malaysia,8,8,3.152032705378205,1813.7874738002954,3.236973285675049
Malaysia,9,3,4.041302998905024,2324.0261361903495,0.5202350616455078
Malaysia,9,4,4.549211604891158,2592.418920653129,0.4207015037536621
Malaysia,9,5,3.1880450611457958,1812.8820793437412,1.043750286102295
Malaysia,9,6,2.8318688038219753,1645.1762725141896,1.6245274543762207
Malaysia,9,7,2.9943490456314596,1760.6197286939616,2.0840930938720703
Malaysia,9,8,3.1517100021474627,1805.3649569947102,3.6354384422302246
Malaysia,10,3,3.7693642067172197,2297.8683844613674,0.44556736946105957
Malaysia,10,4,5.0165288331787785,2767.8964390541505,0.6521604061126709
Malaysia,10,5,3.133800209328773,1827.2255527644709,1.1597342491149902
Malaysia,10,6,2.8196557203573125,1649.4085014840723,1.8024179935455322
Malaysia,10,7,2.989640304114778,1760.22375186637,2.2943453788757324
Malaysia,10,8,3.1228573744644295,1803.848393573575,4.026782274246216
Malaysia,11,3,3.619715974172862,2182.9745884870563,0.4355781078338623
Malaysia,11,4,4.943944100492632,2758.3409016301043,0.5396683216094971
Malaysia,11,5,3.132162298814118,1826.7422008762428,1.1782047748565674
Malaysia,11,6,2.8210727090865846,1651.4755493518514,1.9153735637664795
Malaysia,11,7,2.996044844666334,1763.2329111312279,2.5107357501983643
Malaysia,11,8,3.156645625055103,1788.7468688200408,4.5386035442352295
Malaysia,12,3,3.634672330803924,2192.6500922791606,0.45349550247192383
Malaysia,12,4,4.030739326055446,2353.7183257801025,0.6339588165283203
Malaysia,12,5,3.0231678886283038,1836.4355677717624,1.2485206127166748
Malaysia,12,6,2.828662562226882,1658.1339117063444,2.0748307704925537
Malaysia,12,7,2.9891390486783163,1759.3522516169962,2.7383992671966553
Malaysia,12,8,3.1053642203552374,1797.7233122882599,4.817323684692383
Malaysia,13,3,3.7562118218062914,2214.9981136754677,0.37500739097595215
Malaysia,13,4,4.722976719455489,2856.8179221543187,0.64560866355896
Malaysia,13,5,3.0342897341905863,1845.503335786526,1.3481616973876953
Malaysia,13,6,2.827864874607468,1658.056671483144,2.244267702102661
Malaysia,13,7,2.987011153008846,1758.8266797417116,2.9760422706604004
Malaysia,13,8,3.123232836138527,1815.7219667334577,5.210416793823242
Malaysia,14,3,4.101886903800732,2349.784992112424,0.3315572738647461
Malaysia,14,4,4.629692281031584,2841.5806318707864,0.46769285202026367
Malaysia,14,5,2.967433220682554,1830.7486538691196,1.3979852199554443
Malaysia,14,6,2.8305179151462827,1662.8228768668391,2.396078586578369
Malaysia,14,7,2.977087149808407,1754.6809077690787,3.1865406036376953
Malaysia,14,8,3.1467092427662253,1827.907066451062,5.616121530532837
Malaysia,15,3,3.871916233526424,2322.4099804642087,0.5707099437713623
Malaysia,15,4,4.629740376391664,2841.5864542021773,0.5118570327758789
Malaysia,15,5,2.966684980741848,1828.8968245414374,1.4791879653930664
Malaysia,15,6,2.8832954746031625,1677.263727175736,2.4718940258026123
Malaysia,15,7,2.982948796917586,1756.629365231205,3.4179940223693848
Malaysia,15,8,3.152221078465476,1803.0103074202375,6.234431743621826
Malaysia,16,3,4.225939334812959,2456.5688268939043,0.3575892448425293
Malaysia,16,4,4.629798900653971,2841.593615007201,0.48465609550476074
Malaysia,16,5,2.954527744845095,1822.314346822886,1.5745916366577148
Malaysia,16,6,2.876406651339294,1679.7102595833146,2.6214888095855713
Malaysia,16,7,2.993078569178046,1793.0026941913472,4.015803813934326
Malaysia,16,8,3.219729802406975,1823.1510405821246,6.658430814743042
Malaysia,17,3,3.8498194624679476,2305.6082118850027,0.6170268058776855
Malaysia,17,4,4.629854784640481,2841.600755658332,0.49547553062438965
Malaysia,17,5,2.9474688176365036,1830.0649845216572,1.6497762203216553
Malaysia,17,6,2.879244204988268,1678.6815607771066,2.773012161254883
Malaysia,17,7,2.981471205740348,1757.7963969904483,5.2337000370025635
Malaysia,17,8,3.0581991428565587,1843.582670092832,6.874390125274658
Malaysia,18,3,4.170566540409919,2317.7068666798887,1.1418275833129883
Malaysia,18,4,3.2886070593739034,1908.2339981542584,0.8700220584869385
Malaysia,18,5,3.1461113807906997,1842.792400899279,1.609290361404419
Malaysia,18,6,2.8798261777532526,1681.4861955647234,2.937612771987915
Malaysia,18,7,3.0901840994227907,1757.6184172278652,4.660371780395508
Malaysia,18,8,3.1159638434418833,1826.4994424732572,8.911753177642822
Malaysia,19,3,4.170631663424477,2317.7242639969645,1.2912206649780273
Malaysia,19,4,3.336061057079922,1903.819088614302,0.8646097183227539
Malaysia,19,5,3.116530301373455,1832.5788383148708,1.6859209537506104
Malaysia,19,6,2.885342387322977,1684.4592714750102,3.1632535457611084
Malaysia,19,7,3.0153124724905433,1776.8331994286716,6.27282977104187
Malaysia,19,8,3.1289369596444088,1829.3539261710814,11.169742107391357
Malaysia,20,3,4.476603801192406,2441.0064743523094,0.734929084777832
Malaysia,20,4,3.30108216025661,1917.1026087450002,1.1877636909484863
Malaysia,20,5,3.1289874422426123,1833.5756316414452,2.143357038497925
Malaysia,20,6,2.88050882647889,1684.9989483398558,3.5833544731140137
Malaysia,20,7,3.0145280458683934,1774.9934767511036,6.135146141052246
Malaysia,20,8,3.136975700910602,1827.4414341008255,9.875316143035889
